id|Title|Brand|Type|Sex|Size|SizeParams|SizeArray|Color|Country|Price|Image
866|JOY / Платье для собак|JOY|платье||для мелких пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спинки, в см;|30M,30м,41,28,30;35M,35М,48,36,35;40M,М,60,40,40;|бежевый, синий, розовый|Россия|830|images.wbstatic.net/c516x688/new/7260000/7268584-1.jpg
867|Doggy Style / Дождевик|Doggy Style|дождевик|самец; самка|для мелких пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Длина спины, в см;|L-мелкие,L,46-48,31-33;M-мелкие,M,41-43,28-30;S-мелкие,S,36-38,23-25;XL-мелкие,XL,51-53,33-35;XS-мелкие,XS,31-33,18-20;|зеленый, красный|Россия|1230|images.wbstatic.net/c516x688/new/2450000/2457512-1.jpg
868|Yoriki / Комбинезон Абстракция|Yoriki|комбинезон|самка|для мелких пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спины, в см;|L-мелкие,L,41-47,27-31,28;M-мелкие,M,35-42,23-28,24;S-мелкие,S,29-36,20-24,20;XL-мелкие,XL,46-53,30-34,32;|розовый|Россия|2365|images.wbstatic.net/c516x688/new/10460000/10463705-1.jpg
869|Doggy Boom / Осенний комбинезон для собак "Гамма" / доберман, лабрадор, ретривер|Doggy Boom|комбинезон|унисекс|для крупных пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спинки, в см;|XL-бульдог,10,36-55,20-34,41;|темно-синий, голубой, красный|Россия|2545|images.wbstatic.net/c516x688/new/15350000/15359512-1.jpg
870|Dogs Bomba / Утепленный жилет для собак с капюшоном|Dogs Bomba|жилет|унисекс|для всех пород; для мелких пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спинки, в см;|2,2,28-34,26-30,24-26;4,4,32-40,28-32,28-31;6,6,40-48,33-36,33-37;7,7,54-62,36-40,38-41;8,8,45-52,36-40,38-42;|лососевый||2390|images.wbstatic.net/c516x688/new/16680000/16681100-1.jpg
871|Mellingward / Комбинезон для собак|Mellingward|комбинезон||для мелких пород|Российский размер;Размер производителя;Длина спины, в см;|20,S,20;|красный|Россия|1500|images.wbstatic.net/c516x688/new/17020000/17023532-1.jpg
872|Cezar&Chester / Куртка для животных/куртка для собак|Cezar&Chester|куртка|унисекс|для мелких пород; для средних пород|Российский размер;Размер производителя;Обхват груди, в см;Длина спины, в см;|S,S,30-35,23;M,M,36-40,26;L,L,41-45,29;XL,XL,46-49,33;2XL,XXL,50-55,37;|синий, голубой|Россия|2890|images.wbstatic.net/c516x688/new/17090000/17091576-1.jpg
873|Arnydog / Куртка для собак мелких пород /дубленка для собак /одежда для животных /пальто для собаки|Arnydog|куртка|унисекс|для мелких и средних пород; для средних; малый|Российский размер;Размер производителя;Обхват груди, в см;Длина спины, в см;|XS,XS,28,18;S,S,34,20;M,M,38,25;L,L,42,30;XL,XL,48,35;|горчичный|Россия|912|images.wbstatic.net/c516x688/new/17100000/17100919-1.jpg
874|Mellingward / Комбинезон для собак "Мишка"|Mellingward|комбинезон||для мелких пород|Российский размер;Размер производителя;Длина спины, в см;|35,XL,35;||Китай|3978|images.wbstatic.net/c516x688/new/17020000/17023578-1.jpg
875|PETSROOM / Свитер для собак, размер S|PETSROOM|свитер|самец; самка|для мелких пород|Российский размер;Размер производителя;Длина спины, в см;|20,S,20;|серый|Китай|1900|images.wbstatic.net/c516x688/new/18170000/18170655-1.jpg
876|Тузик / Комбинезон на флисе для кобеля Цвергшнауцер|Тузик|комбинезон|самец||Российский размер;Размер производителя;Обхват груди, в см;Обхват талии, в см;Обхват шеи, в см;Длина спины, в см;Рост в холке, в см;|Цвергшнауцер,Цвергшнауцер,57-58,48-51,34-35,37,39-40;||Россия|2900|images.wbstatic.net/c516x688/new/16440000/16446671-1.jpg
877|Не Один Дома / Жилет для собак, "Не Один Дома" Wild|Не Один Дома|жилет|унисекс|для всех пород|Российский размер;Размер производителя;Обхват груди, в см;Обхват шеи, в см;Длина спинки, в см;|S,S,37-39,26-28,21;S,25см,37-39,26-28,21;M,M,42-44,32-34,27;L,L,48-50,35-37,30;L,35см,48-50,35-37,30;XL,XL,51-53,38-40,35;XL,30см,51-53,38-40,35;XXL,XXL,53-55,40-42,39;XXL,45 CM,53-55,40-42,39;|оранжевый|Китай|2640|images.wbstatic.net/c516x688/new/11850000/11856256-1.jpg
878|Mellingward / Комбинезон для собак "Мишка", с капюшоном|Mellingward|комбинезон||для мелких пород|Российский размер;Размер производителя;Длина спины, в см;|45,XXL,45;||Китай|2736|images.wbstatic.net/c516x688/new/17020000/17023595-1.jpg
